sep=;
"";"id";"title";"category"
"176";"SCCS1710";"Person (S) Infants and Children Sleep With";"Childhood, Household, Life cycle, Marriage"
"177";"SCCS228";"Cousin marriages preferred [Note, identical to EA025]";"Marriage, Kinship"
"178";"SCCS1229";"Mother's Brother's Wife and Husband's Sister's Son";"Kinship"
"179";"SCCS935";"Eating Arrangements: the Spatial Arrangement of the Sexes during the Main Meal of the Day";"Marriage, Life cycle"
"180";"SCCS518";"Control by Caretakers - Mother: Girl";"Childhood, Life cycle"
"181";"SCCS241";"Male genital mutilations [Note, identical to EA037]";"Ritual, Gender"
"182";"SCCS605";"Marriage Payments";"Gender"
"183";"SCCS149";"Scale 1- Writing and Records";"Modernization, Economy"
"184";"SCCS158";"Scale 10- Social Stratification";"Modernization, Economy"
"185";"SCCS248";"Sex differences: metal working [Note, identical to EA044]";"Labour, Gender, Economy"
"186";"SCCS287";"House construction: roofing materials [Note, identical to EA083]";"Community organization, Housing, Ecology"
"187";"SCCS97";"Political Power - Fifth Most Important Source";"Politics"
"188";"SCCS150";"Scale 2- Fixity of Residence";"Modernization, Economy"
"189";"SCCS1188";"Evil Eye Scaled Rating:";"Ritual, Religion"
"190";"SCCS2";"Food Import Acquisition";"Subsistence, Economy"
"191";"SCCS382";"Principal Non-parental Authority Figures: Early Girl";"Childhood, Life cycle"
"192";"SCCS384";"Principal Non-parental Authority Figures: Late Girl";"Childhood, Life cycle"
"193";"SCCS247";"Descent: major type [Note, identical to EA043]";"Kinship"
"194";"SCCS728";"Importance of Animal Husbandry in Subsistence";"Gender"
"195";"SCCS368";"Principal Category of Non-parental Caretaker: Late Girl";"Childhood, Life cycle"
"196";"SCCS1659";"Outcomes regarding Nonland Resources in External Warfare";"Warfare, Politics"
"197";"SCCS435";"Control by Public Opinion: Late Boys";"Childhood, Life cycle"
"198";"SCCS959";"Extensions of the Incest Taboo. Each Category Specifies an Extension of the Incest Taboo beyond the Nuclear Family";"Marriage, Life cycle"
"199";"SCCS32";"Infant Crying - Amount";"Infancy, Childhood"
"200";"SCCS1571";"Children do child care";"Household, Labour, Gender"
"201";"SCCS49";"Elimination Control - Childhood Developmental Order";"Infancy, Childhood"
"202";"SCCS830";"Sexual Nonrestraint in Adolescent Girls";"Life cycle, Childhood"
"203";"SCCS493";"Hostility and Aggression of Caretakers - Mother: Boy";"Childhood, Life cycle"
"204";"SCCS1249";"Exposure of Adolescent Girls to Male Sexual Advances";"Life cycle, Marriage, Gender"
"205";"SCCS433";"Control by Public Opinion: Early Boys";"Childhood, Life cycle"
"206";"SCCS523";"Control by Caretakers - Others: Boy";"Childhood, Life cycle"
"207";"SCCS829";"Sexual Nonrestraint in Adolescent Boys";"Life cycle, Childhood"
"208";"SCCS14";"Routes of Land Transport";"Subsistence, Economy"
"209";"SCCS401";"Sex of Parental Disciplinarians: Early Boy";"Childhood, Life cycle"
"210";"SCCS961";"Restrictions on Premarital Sex";"Marriage, Life cycle"
"211";"SCCS110";"Food Production: Planting (sexual division of labor)";"Economy, Labour"
"212";"SCCS1944";"Sex Difference, Crying";"Life cycle, Mourning, Death, Ritual, Religion"
"213";"SCCS1250";"Consequences for Adolescent Girls Pregnant before Marriage";"Life cycle, Marriage, Gender"
"214";"SCCS434";"Control by Public Opinion: Early Girls";"Childhood, Life cycle"
"215";"SCCS762";"(No) Removal of Leaders Who Are Incompetent or Disliked";"Politics"
"216";"SCCS828";"Sexual Expression in Adolescent Girls";"Life cycle, Childhood"
"217";"SCCS286";"House construction: shape of roof [Note, identical to EA082]";"Community organization, Housing"
"218";"SCCS402";"Sex of Parental Disciplinarians: Early Girl";"Childhood, Life cycle"
"219";"SCCS1248";"Female Body Type Considered Most Attractive";"Life cycle, Marriage, Gender"
"220";"SCCS835";"Political Integration";"Politics"
"221";"SCCS156";"Scale 8- Density of Population";"Modernization, Economy"
"222";"SCCS980";"Restrictions on Divorce";"Marriage, Life cycle"
"223";"SCCS1749";"Frequency of Internal Warfare Involving Non-territorially Organized Groups within Unit of Maximal Political Authority";"Subsistence, Kinship, Politics"
"224";"SCCS396";"Non-parental Involvement in Discipline: Late Girl";"Childhood, Life cycle"
"225";"SCCS1607";"Children 6 to 10 Tend Fires";"Household, Labour, Gender"
"226";"SCCS155";"Scale 7- Money";"Modernization, Economy"
"227";"SCCS323";"Obedience: Early Girl";"Childhood, Life cycle"
"228";"SCCS3";"Agriculture - Contribution to Local Food Supply";"Subsistence, Economy"
"229";"SCCS521";"Control by Caretakers - Father: Girl";"Childhood, Life cycle"
"230";"SCCS415";"Principal Category of Non-parental Educators: Late Boys";"Childhood, Life cycle"
"231";"SCCS938";"The Social Signficance of Change in a Woman's Position with the Onset of Menstruation. the Categories Are";"Marriage, Life cycle"
"232";"SCCS17";"Money (Media of Exchange) and Credit";"Subsistence, Economy"
"233";"SCCS1780";"Defensive (Protective) Weapons Used in Warfare";"Subsistence, Kinship, Politics"
"234";"SCCS229";"Cousin marriages permitted: subtypes [Note, identical to EA024]";"Marriage, Kinship"
"235";"SCCS403";"Sex of Parental Disciplinarians: Late Boy";"Childhood, Life cycle"
"236";"SCCS279";"Inheritance rule for movable property [Note, identical to EA076]";"Property, Wealth Transactions, Economy"
"237";"SCCS85";"Executive";"Politics"
"238";"SCCS1927";"Female Actual Self-injury: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"239";"SCCS136";"Manufacturing: Pottery (sexual division of labor)";"Economy, Labour"
"240";"SCCS1232";"Father's Sister's Daughter and Mother's Brother's Son";"Kinship"
"241";"SCCS735";"Contribution of the Sexes to Fishing, Shellfishing, and Marine Hunting";"Gender"
"242";"SCCS973";"Degree of Marriage Celebration";"Marriage, Life cycle"
"243";"SCCS709";"Social Stratification in the Larger Society";"Gender"
"244";"SCCS1657";"Outcomes regarding Land in War Overall - Combined Scale Scores from Vars 1655 and 1656";"Warfare, Politics"
"245";"SCCS332";"Sexual Restraint: Late Boy";"Childhood, Life cycle"
"246";"SCCS143";"Miscellaneous: Laundering (sexual division of labor)";"Economy, Labour"
"247";"SCCS449";"Warning: Early Boys";"Childhood, Life cycle"
"248";"SCCS450";"Warning: Early Girls";"Childhood, Life cycle"
"249";"SCCS673";"Sex of Creative Agent, Ancestor, or Culture-hero";"Gender"
"250";"SCCS1280";"Child Planting: Primary Crop";"Household, Labour, Gender"
"251";"SCCS467";"Permissiveness: Late Boys";"Childhood, Life cycle"
"252";"SCCS1742";"Selection of Officials at the Lowest Level of Political Hierarchy";"Subsistence, Kinship, Politics"
"253";"SCCS67";"Household Form";"Settlement, Community"
"254";"SCCS1616";"Children Gather Fuel";"Household, Labour, Gender"
"255";"SCCS416";"Principal Category of Non-parental Educators: Late Girls";"Childhood, Life cycle"
"256";"SCCS301";"Aggression: Late Girl";"Childhood, Life cycle"
"257";"SCCS890";"Female Contribution to Subsistence: Average of Three Scores (Ordinated)";"Gender, Subsistence"
"258";"SCCS231";"Kin terms for cousins [Note, identical to EA027]";"Kinship"
"259";"SCCS108";"Food Production: Land Clearance (sexual division of labor)";"Economy, Labour"
"260";"SCCS327";"Self-restraint: Early Girl";"Childhood, Life cycle"
"261";"SCCS997";"Importance of Grandparents (Usually Grandmothers) for Both Boys and Girls, without Regard to Gender";"Childhood, Life cycle"
"262";"SCCS998";"Importance of Others for Both Boys and Girls, without Regard to Gender";"Childhood, Life cycle"
"263";"SCCS993";"Identification of Others for Boys";"Childhood, Life cycle"
"264";"SCCS1251";"Degree of Public Awareness of Menarche";"Life cycle, Marriage, Gender"
"265";"SCCS322";"Obedience: Early Boy";"Childhood, Life cycle"
"266";"SCCS454";"Corporal Punishment: Early Girls";"Childhood, Life cycle"
"267";"SCCS11";"Gathering - Contribution to Food Supply";"Subsistence, Economy"
"268";"SCCS510";"Indifference of Caretakers - Father: Aver";"Childhood, Life cycle"
"269";"SCCS663";"Female Power Guttman Scale Constructed from 657-662";"Gender"
"270";"SCCS984";"Remarriage of Widows";"Marriage, Life cycle"
"271";"SCCS1281";"Child Crop Tending: Primary Crop";"Household, Labour, Gender"
"272";"SCCS1377";"Child Crop Tending: Secondary Crop";"Household, Labour, Gender"
"273";"SCCS1739";"Types of Violence against Overarching Political Institution";"Subsistence, Kinship, Politics"
"274";"SCCS211";"Marital composition: monogamy and polygamy [Note, identical to EA009]";"Marriage, Kinship"
"275";"SCCS308";"Self-reliance: Late Boy";"Childhood, Life cycle"
"276";"SCCS300";"Aggression: Late Boy";"Childhood, Life cycle"
"277";"SCCS827";"Sexual Expression in Adolescent Boys";"Life cycle, Childhood"
"278";"SCCS743";"(Neg) Attitude towards Divorce";"Gender, Marriage"
"279";"SCCS945";"Purpose of Personal Birth Restrictions. Each Category Indicates Why the Taboos and Restrictions on a Woman's Personal Behavior Are Imposed after She Bears a Child";"Marriage, Life cycle"
"280";"SCCS328";"Self-restraint: Late Boy";"Childhood, Life cycle"
"281";"SCCS747";"Honeymoon Customs";"Gender, Marriage"
"282";"SCCS34";"Post - Partum Sex Taboo";"Infancy, Childhood"
"283";"SCCS270";"Class differentiation: primary [Note, identical to EA066]";"Politics, Class, Economy"
"284";"SCCS1617";"Children under 6 Gather Fuel";"Household, Labour, Gender"
"285";"SCCS524";"Control by Caretakers - Others: Girl";"Childhood, Life cycle"
"286";"SCCS1962";"Eventual Distance of Spirits";"Life cycle, Mourning, Death, Ritual, Religion"
"287";"SCCS599";"Menstrual Taboos";"Gender"
"288";"SCCS1761";"Inculcation of Children's Trust in Other Persons";"Subsistence, Kinship, Politics"
"289";"SCCS571";"Resource Base";"Ritual, Life cycle"
"290";"SCCS753";"(No) Husband-wife Leisure Time Activities";"Gender, Marriage"
"291";"SCCS944";"Residence of the New Parents at the Birth of Their First Child";"Marriage, Life cycle"
"292";"SCCS468";"Permissiveness: Late Girls";"Childhood, Life cycle"
"293";"SCCS585";"Proportional Contribution of Women to Overall Subsistence";"Gender"
"294";"SCCS766";"(Low) Political Participation: Extensivity of Adult Participation in Areas Where Collective Decision Making Present";"Politics"
"295";"SCCS152";"Scale 4- Urbanization";"Modernization, Economy"
"296";"SCCS1228";"Husband's Mother and Son's Wife";"Kinship"
"297";"SCCS710";"Social Stratification in the Local Community";"Gender"
"298";"SCCS940";"Social Danger: Which Person (S) Would Be Most Harmed If the Woman Did Not Adhere to Her Menstrual Restrictions";"Marriage, Life cycle"
"299";"SCCS1001";"Incomplete Continuity for Boys: Age";"Childhood, Life cycle"
"300";"SCCS404";"Sex of Parental Disciplinarians: Late Girl";"Childhood, Life cycle"
"301";"SCCS440";"Lecturing: Late Girls";"Childhood, Life cycle"
"302";"SCCS126";"Intermediate Processing: Skins (sexual division of labor)";"Economy, Labour"
"303";"SCCS727";"Importance of Agriculture in Subsistence, including Gardening";"Gender"
"304";"SCCS127";"Intermediate Processing: Spinning (sexual division of labor)";"Economy, Labour"
"305";"SCCS958";"Restrictions on the Occasion of Intercourse. Each Category Specifies an Occasion When Intercourse Is Proscribed or Strongly Preferred Not to Take Place";"Marriage, Life cycle"
"306";"SCCS639";"Patterns for Uncles";"Kinship"
"307";"SCCS739";"Marriage Arrangements (Males)";"Gender, Marriage"
"308";"SCCS738";"Relative Contribution of the Sexes to Trade";"Gender"
"309";"SCCS233";"Agriculture: major crop type [Note, identical to EA029]";"Subsistence, Ecology"
"310";"SCCS428";"Guidance or Formal Schooling: Late Girls";"Childhood, Life cycle"
"311";"SCCS1743";"Sanctions";"Subsistence, Kinship, Politics"
"312";"SCCS18";"Credit Source";"Subsistence, Economy"
"313";"SCCS254";"Age or occupational specialization: metal working [Note, identical to EA055]";"Labour, Economy"
"314";"SCCS1722";"Sources of Wealth";"Subsistence, Kinship, Politics"
"315";"SCCS517";"Control by Caretakers - Mother: Boy";"Childhood, Life cycle"
"316";"SCCS1282";"Child Harvesting: Primary Crop";"Household, Labour, Gender"
"317";"SCCS1745";"Religio-political Overlap";"Subsistence, Kinship, Politics"
"318";"SCCS761";"Checks on Leaders' Power";"Politics"
"319";"SCCS765";"(Low) Political Participation: Range of Community Decision Making";"Politics"
"320";"SCCS439";"Lecturing: Late Boys";"Childhood, Life cycle"
"321";"SCCS135";"Manufacturing: Clothing (sexual division of labor)";"Economy, Labour"
"322";"SCCS1003";"Incomplete Continuity for Girls: Age";"Childhood, Life cycle"
"323";"SCCS729";"Importance of Fishing, Shellfishing and Marine Hunting";"Gender"
"324";"SCCS643";"Patterns for Cross-cousins";"Kinship"
"325";"SCCS1668";"Individual Aggression - Trespass";"Warfare, Politics"
"326";"SCCS759";"Perceptions of Political Leaders' Power as Seen by Society";"Politics"
"327";"SCCS83";"Levels of Sovereignty";"Politics"
